Pressure,Temperature,Density,Enthalpy,Internal Energy,Gibbs Energy,Entropy,Molecular Mass,Specific Heat Capacity,Sound Speed,Viscosity,Thermal Conductivity,Prandtl Number
0.4,1600,0.132,-7400,-7700,-18400,6.9,44,1.41,592,0.573,1.09,0.741
0.4,1700,0.124,-7250,-7580,-19100,6.99,43.9,1.49,609,0.597,1.22,0.73
0.4,1800,0.117,-7100,-7440,-19800,7.08,43.9,1.62,624,0.621,1.4,0.715
0.4,1900,0.111,-6930,-7290,-20600,7.17,43.8,1.81,640,0.645,1.67,0.696
0.4,2000,0.105,-6730,-7120,-21300,7.27,43.6,2.09,655,0.669,2.06,0.677
0.4,2100,0.0991,-6510,-6910,-22000,7.38,43.3,2.47,671,0.693,2.59,0.66
0.4,2200,0.0936,-6240,-6660,-22800,7.51,42.8,2.96,688,0.718,3.29,0.647
0.4,2300,0.0883,-5910,-6360,-23500,7.65,42.2,3.58,707,0.744,4.17,0.64
0.4,2400,0.083,-5520,-6000,-24300,7.82,41.4,4.32,728,0.771,5.22,0.638
0.4,2500,0.0777,-5040,-5560,-25100,8.01,40.4,5.14,752,0.8,6.41,0.641
0.4,2600,0.0724,-4490,-5040,-25900,8.23,39.1,6.02,778,0.829,7.7,0.648
0.4,2700,0.0673,-3840,-4440,-26700,8.48,37.8,6.89,808,0.86,9.01,0.657
0.4,2800,0.0623,-3110,-3750,-27600,8.74,36.3,7.7,841,0.89,10.3,0.667
0.4,2900,0.0576,-2310,-3000,-28500,9.02,34.7,8.39,876,0.919,11.4,0.676
0.4,3000,0.0531,-1440,-2190,-29400,9.32,33.1,8.95,913,0.948,12.4,0.683
0.4,3100,0.049,-522,-1340,-30300,9.62,31.6,9.35,952,0.976,13.3,0.688
0.4,3200,0.0453,427,-456,-31300,9.92,30.1,9.6,993,1,13.9,0.693
0.4,3300,0.0419,1390,439,-32300,10.2,28.8,9.68,1030,1.03,14.3,0.701
0.4,3400,0.0389,2360,1330,-33400,10.5,27.5,9.57,1080,1.06,14.2,0.712
0.4,3500,0.0363,3300,2200,-34400,10.8,26.4,9.2,1120,1.09,13.8,0.727
0.4,3600,0.034,4190,3010,-35500,11,25.4,8.56,1160,1.11,12.8,0.744
0.4,3700,0.032,5000,3750,-36600,11.3,24.6,7.66,1200,1.14,11.5,0.762
0.4,3800,0.0303,5720,4400,-37800,11.4,23.9,6.62,1240,1.17,9.92,0.779
0.4,3900,0.0289,6320,4940,-38900,11.6,23.4,5.55,1270,1.19,8.38,0.791
0.4,4000,0.0277,6830,5390,-40100,11.7,23,4.58,1310,1.22,7,0.797
0.4,4100,0.0267,7240,5750,-41300,11.8,22.8,3.76,1340,1.24,5.86,0.797
0.4,4200,0.0258,7590,6040,-42400,11.9,22.6,3.12,1380,1.27,4.99,0.792
0.4,4300,0.0251,7870,6280,-43600,12,22.4,2.64,1410,1.29,4.34,0.784
0.4,4400,0.0244,8120,6480,-44800,12,22.3,2.28,1440,1.31,3.88,0.773
0.4,4500,0.0238,8330,6650,-46000,12.1,22.2,2.03,1480,1.34,3.56,0.763
0.4,4600,0.0232,8530,6800,-47300,12.1,22.2,1.85,1500,1.36,3.35,0.753
0.4,4700,0.0227,8710,6940,-48500,12.2,22.1,1.73,1530,1.38,3.21,0.745
0.4,4800,0.0221,8870,7070,-49700,12.2,22.1,1.65,1550,1.41,3.14,0.737
0.4,4900,0.0217,9040,7190,-50900,12.2,22.1,1.6,1570,1.43,3.13,0.731
0.4,5000,0.0212,9200,7310,-52100,12.3,22.1,1.58,1590,1.45,3.16,0.726
0.4,5100,0.0208,9350,7430,-53400,12.3,22,1.59,1600,1.47,3.26,0.72
0.4,5200,0.0204,9510,7550,-54600,12.3,22,1.64,1610,1.5,3.42,0.716
0.4,5300,0.02,9680,7680,-55800,12.4,22,1.72,1620,1.52,3.67,0.711
0.4,5400,0.0196,9860,7820,-57100,12.4,22,1.86,1620,1.54,4.06,0.705
0.4,5500,0.0192,10100,7970,-58300,12.4,22,2.07,1620,1.56,4.64,0.698
0.4,5600,0.0188,10300,8150,-59600,12.5,21.9,2.38,1620,1.58,5.45,0.692
0.4,5700,0.0185,10500,8370,-60800,12.5,21.9,2.82,1620,1.6,6.59,0.686
0.4,5800,0.0181,10800,8630,-62100,12.6,21.8,3.41,1620,1.63,8.14,0.682
0.4,5900,0.0177,11200,8960,-63300,12.6,21.7,4.2,1630,1.65,10.2,0.68
0.4,6000,0.0173,11700,9380,-64600,12.7,21.5,5.22,1640,1.67,12.8,0.681
0.4,6100,0.0169,12300,9900,-65900,12.8,21.4,6.48,1650,1.69,16,0.686
